gene_name,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
Sox17,0.2575289,-0.19658445,0.4058103,-0.12741932,-0.36756596,0.29101253,0.08653094,-0.116973184,0.35221854,0.26236874,-0.14156929,0.03914821,-0.3590572,0.50479937,0.20513421,-0.32593024,-0.8891854,0.15174748,-0.17482989,-0.40929863
Sgk3,-0.3351042,-0.51371324,-0.053637724,-0.017054027,-0.1003796,0.22350183,-0.13912795,-0.005233166,-0.29937845,0.113866255,0.13864654,0.1601255,-0.13579579,0.071430884,0.16940632,0.036693133,-0.2174707,0.3726698,0.023720924,-0.21138163
Rdh10,0.046573196,0.2943995,0.069526345,0.08471176,0.2644705,0.2224544,-0.13998525,-0.29660907,-0.119811654,0.0034409598,0.17608568,0.19662045,-0.35298884,0.16080742,0.20081799,0.030675802,-0.10450447,-0.17284566,-0.16363849,0.20115352
Ptpn18,0.3503032,-0.60660654,0.004830054,-0.17732419,0.35480386,0.22994353,0.107648,-0.13629086,-0.095860176,-0.097879685,0.07675839,-0.1766959,0.2551589,0.1189176,0.34126413,-0.014521697,-0.17005463,0.19111241,0.00059549656,-0.31286487
Cfc1,0.064607605,0.0024970497,-0.09117837,0.038659446,-0.06556185,0.29591367,0.24990585,-0.33101428,-0.4367468,0.08173472,0.37141272,-0.3416029,-0.29340145,-0.5499075,-0.17829336,0.14729916,-0.917388,0.41494188,0.05625392,0.1117297
Fhl2,0.48007748,-0.038681466,0.10086862,-0.109254204,-0.037002396,0.21562226,-0.0072150053,-0.14186917,-0.061993983,-0.1728998,0.14284822,0.24327667,0.15054907,0.22941174,-0.12894265,0.27773622,-0.08654495,0.14640573,-0.05065458,0.01014689
Slc40a1,-0.12661938,-0.26062632,-0.036853828,-0.21216129,-0.22681198,0.2733892,-0.14717497,0.057781465,-0.28790796,-0.37427944,0.12953916,0.6892225,0.051750932,0.4341636,-0.2700141,0.06125506,0.19842221,0.25280178,0.09065393,-0.026311675
Inpp1,0.36702546,-0.6216756,0.054168977,-0.02544609,0.3449008,0.26398036,-0.058083963,0.097595416,-0.14168766,-0.06346508,0.015069683,0.034935277,0.12773809,0.27242535,-0.054820158,0.24751253,0.45439056,0.09852241,0.04264482,0.11884281
1700019D03Rik,-0.24965672,-0.5586993,-0.06267521,0.26291022,0.29657972,0.1661055,-0.070468396,-0.17186736,-0.28271797,-0.22685847,0.34791198,0.15967771,-0.18114665,0.8463093,-0.5625085,0.12671065,-0.20739034,-0.107185915,0.07038572,-0.23524226
Spats2l,0.42371115,0.07997686,-0.038404476,-0.12531841,0.33874482,0.16406797,-0.022877226,0.061889414,-0.20890406,-0.14647405,0.045179285,-0.2948847,0.11932179,0.17462677,0.1470985,0.22612661,-0.5256249,0.11705674,-0.065038696,-0.020437643
Nrp2,0.4333064,0.24368696,0.11257713,0.058372475,0.5453609,0.09347745,-0.07391186,0.08958052,0.11837707,-0.07252618,0.037039615,0.23888317,0.019846158,-0.16063228,-0.17739324,-0.040302973,0.027804699,-0.10010435,-0.053867135,-0.10106623
Fn1,-0.062157,0.19305605,0.03364997,-0.16827843,0.38674074,0.0628681,0.028362228,-0.057856776,-0.09055477,-0.16010366,-0.025311861,-0.37971994,-0.29273576,-0.3538328,0.04213965,-0.10642443,-0.42454377,-0.14829771,-0.02811829,-0.1219993
